TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,BonusPoints,State
550,1/6/2024,1008,102,404,0,39.1,3.91,Missouri
551,1/6/2024,1009,105,403,0,19.78,1.978,Iowa
552,1/16/2024,1004,107,404,0,335.1,33.51,Texas
553,1/16/2024,1006,102,406,0,195.5,19.55,Nebraska
554,1/25/2024,1005,102,405,0,117.3,11.73,California
555,1/25/2024,1001,101,401,0,2379.36,237.936,Alabama
556,1/29/2024,1009,104,403,0,172.4,17.24,Florida
557,1/29/2024,1010,101,402,0,3172.48,317.248,Missouri
558,2/6/2024,1002,102,402,0,312.8,31.28,Alabama
559,2/6/2024,1001,106,401,0,622.86,62.286,Colorado
560,2/6/2024,1010,101,402,0,6344.96,634.496,Colorado
561,2/6/2024,1005,107,405,0,469.14,46.914,California
562,2/8/2024,1003,108,403,0,12.56,1.256,Texas
563,2/8/2024,1006,107,406,0,67.02,6.702,Colorado
564,2/9/2024,1009,107,403,0,469.14,46.914,Nebraska
565,2/9/2024,1002,105,402,0,138.46,13.846,Nevada
566,2/24/2024,1007,103,405,0,204.84,20.484,Illinois
567,2/24/2024,1007,106,405,0,444.9,44.49,Arizona
568,2/24/2024,1011,107,401,0,603.18,60.318,Iowa
569,2/24/2024,1010,101,402,0,3965.6,396.56,Alabama
570,2/27/2024,1010,107,402,0,402.12,40.212,Nevada
571,2/27/2024,1011,106,401,0,533.88,53.388,Texas
572,3/20/2024,1005,105,405,0,178.02,17.802,Colorado
573,3/20/2024,1001,101,401,0,7138.08,713.808,California
574,3/25/2024,1006,101,406,0,4758.72,475.872,Florida
575,3/25/2024,1001,108,401,0,75.36,7.536,Colorado
576,4/7/2024,1001,108,401,0,113.04,11.304,Missouri
577,4/7/2024,1005,104,405,0,387.9,38.79,Missouri
578,4/10/2024,1006,106,406,0,800.82,80.082,Illinois
579,4/10/2024,1008,106,404,0,800.82,80.082,Arizona
580,4/11/2024,1004,103,404,0,22.76,2.276,California
581,4/11/2024,1009,101,403,0,793.12,79.312,Nebraska
582,4/19/2024,1001,101,401,0,6344.96,634.496,Alabama
583,4/19/2024,1009,102,403,0,312.8,31.28,Alabama
584,4/27/2024,1007,101,405,0,7138.08,713.808,Illinois
585,4/27/2024,1002,108,402,0,113.04,11.304,Texas
586,4/30/2024,1001,105,401,0,39.56,3.956,Iowa
587,4/30/2024,1007,102,405,0,78.2,7.82,Michigan
588,5/2/2024,1002,102,402,0,117.3,11.73,Arizona
589,5/2/2024,1007,102,405,0,117.3,11.73,Michigan
590,5/8/2024,1005,107,405,1,603.18,60.318,Florida
591,5/8/2024,1004,101,404,1,7138.08,713.808,Montana
592,5/17/2024,1006,107,406,1,670.2,67.02,Colorado
593,5/17/2024,1008,104,404,1,431,43.1,Missouri
594,5/19/2024,1003,101,403,1,1586.24,158.624,California
595,5/19/2024,1006,108,406,1,25.12,2.512,Arizona
596,5/29/2024,1011,105,401,0,98.9,9.89,Alabama
597,5/29/2024,1008,102,404,0,195.5,19.55,Nebraska
598,6/6/2024,1001,104,401,0,387.9,38.79,Illinois
599,6/6/2024,1004,102,404,0,351.9,35.19,Iowa
600,6/12/2024,1010,103,402,0,182.08,18.208,Arizona
601,6/12/2024,1005,106,405,0,711.84,71.184,Colorado
602,6/17/2024,1007,101,405,0,2379.36,237.936,Florida
603,6/17/2024,1006,101,406,0,2379.36,237.936,California
604,6/20/2024,1009,102,403,0,39.1,3.91,California
605,6/20/2024,1002,108,402,0,12.56,1.256,Texas
606,7/2/2024,1005,105,405,0,79.12,7.912,Alabama
607,7/2/2024,1011,108,401,0,50.24,5.024,Missouri
608,7/4/2024,1003,102,403,0,39.1,3.91,Montana
609,7/4/2024,1004,101,404,0,3965.6,396.56,Nebraska
610,7/4/2024,1010,106,402,0,88.98,8.898,Colorado
611,7/4/2024,1006,102,406,0,195.5,19.55,Iowa
612,7/7/2024,1003,104,403,2,258.6,25.86,Michigan
613,7/7/2024,1003,104,403,2,258.6,25.86,Arizona
614,7/15/2024,1011,101,401,2,7138.08,713.808,Missouri
615,7/15/2024,1010,104,402,2,387.9,38.79,Nevada
616,7/17/2024,1001,107,401,2,134.04,13.404,Montana
617,7/17/2024,1003,107,403,2,134.04,13.404,Texas
618,7/21/2024,1001,104,401,2,172.4,17.24,Kansas
619,7/21/2024,1008,105,404,2,79.12,7.912,Colorado
620,7/25/2024,1007,108,405,0,125.6,12.56,South Carolina 
621,7/25/2024,1010,101,402,0,7931.2,793.12,Nebraska
